gml_id,ust_katego,alt_katego,ad,geojson
bursa_dinitesis.142,DİNİ TESİSLER,CAMİ,ÇATALSÖĞÜT MH.DEMİRCİLER CAMİ,"{""type"":""Point"",""coordinates"":[29.165593383,39.731774375]}"
bursa_dinitesis.143,DİNİ TESİSLER,CAMİ,DEDEBALİ MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.049210925,39.657365223]}"
bursa_dinitesis.144,DİNİ TESİSLER,CAMİ,DELİCEGÜNEY MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.010772478,39.651544057]}"
bursa_dinitesis.145,DİNİ TESİSLER,CAMİ,ECE MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.174195845,39.689458279]}"
bursa_dinitesis.146,DİNİ TESİSLER,CAMİ,GEDİKÖREN MH.NATCALAR CAMİ,"{""type"":""Point"",""coordinates"":[29.092582032,39.628409045]}"
bursa_dinitesis.147,DİNİ TESİSLER,CAMİ,GÖKÇELER MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.035961158,39.636289853]}"
bursa_dinitesis.148,DİNİ TESİSLER,CAMİ,GÖKÇELER MH.ÇINAR CAMİ,"{""type"":""Point"",""coordinates"":[29.027662773,39.649396906]}"
bursa_dinitesis.149,DİNİ TESİSLER,CAMİ,HOPANTDANİŞMENT MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.215502005,39.729213303]}"
bursa_dinitesis.150,DİNİ TESİSLER,CAMİ,ILICAKSU MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.032486777,39.66690849]}"
bursa_dinitesis.151,DİNİ TESİSLER,CAMİ,İSHAKLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.136537767,39.628390558]}"
bursa_dinitesis.152,DİNİ TESİSLER,CAMİ,KARACA MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.155365275,39.637034435]}"
bursa_dinitesis.153,DİNİ TESİSLER,CAMİ,KEPEKDERE MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.174715027,39.664543695]}"
bursa_dinitesis.154,DİNİ TESİSLER,CAMİ,KILAVUZLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.183115004,39.712517082]}"
bursa_dinitesis.155,DİNİ TESİSLER,CAMİ,KIŞMANLAR MH.YK.CAMİ,"{""type"":""Point"",""coordinates"":[29.134256709,39.6531514]}"
bursa_dinitesis.156,DİNİ TESİSLER,CAMİ,KOCAPINAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.078201281,39.615213821]}"
bursa_dinitesis.157,DİNİ TESİSLER,CAMİ,MERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[29.154594924,39.677688633]}"
bursa_dinitesis.158,DİNİ TESİSLER,CAMİ,NALBANT MH.AŞĞ.CAMİ,"{""type"":""Point"",""coordinates"":[29.21915035,39.716862845]}"
bursa_dinitesis.159,DİNİ TESİSLER,CAMİ,OKÇULAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.225088264,39.704256308]}"
bursa_dinitesis.160,DİNİ TESİSLER,CAMİ,SAÇAKLI MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.105211435,39.677888413]}"
bursa_dinitesis.161,DİNİ TESİSLER,CAMİ,YEŞİLYURT MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.23259918,39.743028821]}"
bursa_dinitesis.162,DİNİ TESİSLER,CAMİ,İLÇE MÜFTÜLÜĞÜ,"{""type"":""Point"",""coordinates"":[29.516339982,40.073803285]}"
bursa_dinitesis.163,DİNİ TESİSLER,CAMİ,AKBAŞLAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.594924176,40.099232474]}"
bursa_dinitesis.164,DİNİ TESİSLER,CAMİ,KARALAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.488222813,40.13062506]}"
bursa_dinitesis.165,DİNİ TESİSLER,CAMİ,AKHİSAR MH.GÖÇMEN CAMİ,"{""type"":""Point"",""coordinates"":[29.464249453,40.12143234]}"
bursa_dinitesis.166,DİNİ TESİSLER,CAMİ,AKINCILAR MH.CAMİ,"{""type"":""Point"",""coordinates"":[29.396266344,40.112775929]}"
bursa_dinitesis.167,DİNİ TESİSLER,CAMİ,ALANYURT MH.ÜÇEVLER CAMİ,"{""type"":""Point"",""coordinates"":[29.516572259,40.100731861]}"
bursa_dinitesis.168,DİNİ TESİSLER,CAMİ,ALANYURT MH.TEVHİD CAMİ,"{""type"":""Point"",""coordinates"":[29.515576118,40.109096698]}"
bursa_dinitesis.169,DİNİ TESİSLER,CAMİ,ALANYURT MH.MERKEZ CAMİ,"{""type"":""Point"",""coordinates"":[29.512167217,40.107944847]}"
